Xkr4
Gm37180
Gm37363
Gm37686
Gm37329
Gm38148
Gm19938
Rp1
Gm6085
Gm6119
Gm2053
Mrpl15
Gm37144
Lypla1
Gm37988
Tcea1
Gm6104
Atp6v1h
Npbwr1
Rb1cc1
4732440D04Rik
Gm7417
Gm19026
St18
Gm7449
Gm37108
Pcmtd1
Gm38372
Gm26901
Gm30414
Gm7512
Rrs1
Adhfe1
2610203C22Rik
Mybl1
Vcpip1
1700034P13Rik
Sgk3
Mcmdc2
Snhg6
Tcf24
Ppp1r42
Cops5
Cspp1
Arfgef1
Gm37569
Cpa6
Gm15604
Gm15603
Prex2
A830018L16Rik
Gm38178
Sulf1
Slco5a1
Prdm14
Ncoa2
Gm38376
Gm37409
Gm38223
Gm37702
Gm38120
Gm38380
Gm29570
Gm7593
Tram1
Lactb2
Gm38319
Xkr9
Eya1
Rpl5-ps1
Kcnb2
Gm38116
Gm37138
Terf1
Gm37509
Sbspon
4930444P10Rik
Rpl7
Rdh10
Stau2
Ube2w
Gm38342
Eloc
D030040B21Rik
Gm7654
Tmem70
Ly96
Gm5828
Jph1
Gdap1
Rbm6-ps1
Pkhd1
Gm15795
Il17f
Mcm3
6720483E21Rik
Paqr8
Efhc1
Tram2
Tmem14a
Gm38224
Gsta3
Gm4956
Khdc1a
Gm7658
Gm26580
Rims1
Gm6420
Gm27028
Gm29107
Ogfrl1
B3gat2
Smap1
Sdhaf4
Fam135a
Gm37580
Col9a1
Col19a1
Tubb4b-ps2
Gm28439
Gm10222
Gm28438
Gm28437
Gm10925
Gm28661
Gm29216
Lmbrd1
Adgrb3
Gm20172
Gm37543
Gm37331
Gm37211
Gm37862
Gm38286
Gm37880
Gm37011
Gm29214
Gm37051
Gm38260
Gm37628
8030445P17Rik
Gm37077
Gm37895
Gm36952
Gm37602
2900022M07Rik
2900002M20Rik
Gm9884
Gm7846
Phf3
Gm37522
Gm37906
Ptp4a1
Ptp4a1.1
4931428L18Rik
Gm29128
Gm19680
Khdrbs2
Gm7114
Prim2
Gm29228
Gm37618
1700001G17Rik
Rab23
Bag2
Zfp451
Gm15455
Dst
Gm38157
Gm26788
Gm3052
Gm37233
Ccdc115
Gm28306
Imp4
Ptpn18
Gm28417
Amer3
Arhgef4
Gm38336
Fam168b
Gm37127
Plekhb2
Hs6st1
Gm37335
Uggt1
Neurl3
Arid5a
Kansl3
Lman2l
Cnnm4
Gm37909
Cnnm3
Ankrd23
Ankrd39
Sema4c
D430040D24Rik
Fam178b
Cox5b
Actr1b
Zap70
Tmem131
Gm38115
F830112A20Rik
Rpl12-ps1
Vwa3b
1700074A21Rik
Inpp4a
Coa5
Unc50
Mgat4a
4930594C11Rik
Gm43213
2010300C02Rik
Gm19863
Tsga10
Lipt1
Mitd1
Mrpl30
Txndc9
Eif5b
Rev1
Aff3
Gm16152
Chst10
Pdcl3
Gm37309
Npas2
Gm3617
Rpl31
Tbc1d8
Gm37265
Cnot11
Gm15832
Rnf149
Creg2
Map4k4
Il1r2
Il1r1
Gm38070
Il1rl2
Il1rl1
Il18r1
Il18rap
Slc9a4
Gm37435
Slc9a2
Gm37915
Mfsd9
Tmem182
Pou3f3
Mrps9
Tgfbrap1
8430432A02Rik
AI597479
Fhl2
Nck2
Gm37536
Gm38228
Gm29155
Gm29156
Uxs1
Tpp2
Mettl21c
Gm8251
Tex30
Kdelc1
Bivm
Ercc5
Txn-ps1
Gulp1
Gm37626
Gm16102
Wdr75
Gm5526
Slc40a1
Gm18849
Dnah7b
Gm8326
Dnah7c
Slc39a10
Gm28151
Gm37393
Gm8337
Tmeff2
Cavin2
Nabp1
Gm17767
Myo1b
Gm29453
Gm28323
Stat4
Gm3940
Gm31812
Stat1
Gls
Nab1
Rps27a-ps1
Nemp2
Gm37242
Mfsd6
